14.592,7.713,15.415,5.0542,3.5844,8.5795,3.7146,0.091053,4.3883,NaN
10.391,5.053,12.708,3.5344,2.9896,7.507,3.5728,0.09437,2.7802,NaN
6.7778,3.2102,7.2566,1.9734,1.9393,4.1109,1.0159,0.098866,1.3954,NaN
2.2863,1.0925,3.9425,0.12837,1.0215,2.0035,0.56113,0.13165,0.80378,NaN
5.7835,2.4454,2.1687,6.1052,2.542,3.372,0.10336,0.16969,1.9043,NaN
7.91,3.4047,8.9682,2.6357,2.4485,4.5342,1.772,0.085083,1.6053,NaN
0.26303,0.18311,0.16351,0.30966,0.10143,0.24149,0.083627,0.085098,0.16034,NaN
3.93,1.7821,3.5265,0.8658,0.85597,1.6764,0.89086,0.091404,0.077755,NaN
1.1228,0.26626,0.097634,0.38791,0.2356,0.56234,0.16295,0.08565,0.24004,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
